UE_id,From_Address,Sequence num,Parket size[byte],Sent time[s],Dest IP,Packet Total
9999,02-07-00:00:00:00:01:c0:00,484,1024,98.7132,02-07-ac:10:00:02:09:00:00,14068
9999,02-07-00:00:00:00:01:c0:00,520,1024,98.714,02-07-ac:10:00:02:09:00:00,14069
9999,02-07-00:00:00:00:01:c0:00,1087,1024,98.7149,02-07-ac:10:00:02:09:00:00,14070
9999,02-07-00:00:00:00:01:c0:00,485,1024,98.7173,02-07-ac:10:00:02:09:00:00,14071
9999,02-07-00:00:00:00:01:c0:00,491,1024,98.7235,02-07-ac:10:00:02:09:00:00,14072
9999,02-07-00:00:00:00:01:c0:00,472,1024,98.7236,02-07-ac:10:00:02:09:00:00,14073
9999,02-07-00:00:00:00:01:c0:00,475,1024,98.7251,02-07-ac:10:00:02:09:00:00,14074
9999,02-07-00:00:00:00:01:c0:00,1093,1024,98.7274,02-07-ac:10:00:02:09:00:00,14075
9999,02-07-00:00:00:00:01:c0:00,478,1024,98.7285,02-07-ac:10:00:02:09:00:00,14076
9999,02-07-00:00:00:00:01:c0:00,481,1024,98.7299,02-07-ac:10:00:02:09:00:00,14077
9999,02-07-00:00:00:00:01:c0:00,481,1024,98.7337,02-07-ac:10:00:02:09:00:00,14078
9999,02-07-00:00:00:00:01:c0:00,1714,1024,98.7372,02-07-ac:10:00:02:09:00:00,14079
9999,02-07-00:00:00:00:01:c0:00,528,1024,98.7402,02-07-ac:10:00:02:09:00:00,14080
9999,02-07-00:00:00:00:01:c0:00,479,1024,98.742,02-07-ac:10:00:02:09:00:00,14081
