Waf: Entering directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
[2710/2769] Compiling scratch/scenario/nodehelper.cc
[2736/2769] Linking build/scratch/scenario/scenario
Waf: Leaving directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (19.233s)
Start!
Setting Route Protocol: AODV for adhoc
Setting UAVs Topo for AP & Adhoc
22.41 8 received one packet from 172.16.1.11
22.4205 6 received one packet from 172.16.1.9
22.4231 8 received one packet from 172.16.1.11
22.4299 6 received one packet from 172.16.1.9
22.4375 8 received one packet from 172.16.1.11
22.4405 6 received one packet from 172.16.1.9
22.4626 8 received one packet from 172.16.1.11
22.4732 8 received one packet from 172.16.1.11
22.4777 6 received one packet from 172.16.1.9
22.4801 8 received one packet from 172.16.1.11
22.4887 6 received one packet from 172.16.1.9
22.4991 6 received one packet from 172.16.1.9
22.5014 8 received one packet from 172.16.1.11
22.5141 6 received one packet from 172.16.1.9
22.5205 8 received one packet from 172.16.1.11
22.5213 6 received one packet from 172.16.1.9
22.5322 6 received one packet from 172.16.1.9
22.5388 6 received one packet from 172.16.1.9
22.5407 8 received one packet from 172.16.1.11
22.5481 8 received one packet from 172.16.1.11
22.5513 8 received one packet from 172.16.1.11
22.556 8 received one packet from 172.16.1.11
22.5605 6 received one packet from 172.16.1.9
22.5642 8 received one packet from 172.16.1.11
22.5736 6 received one packet from 172.16.1.9
22.5803 8 received one packet from 172.16.1.11
22.5915 8 received one packet from 172.16.1.11
22.5919 6 received one packet from 172.16.1.9
22.6008 8 received one packet from 172.16.1.11
22.6142 8 received one packet from 172.16.1.11
22.6219 6 received one packet from 172.16.1.9
22.6223 8 received one packet from 172.16.1.11
22.6275 6 received one packet from 172.16.1.9
22.6366 8 received one packet from 172.16.1.11
22.6415 6 received one packet from 172.16.1.9
22.6517 6 received one packet from 172.16.1.9
22.658 8 received one packet from 172.16.1.11
22.6634 6 received one packet from 172.16.1.9
22.666 8 received one packet from 172.16.1.11
22.675 6 received one packet from 172.16.1.9
22.686 8 received one packet from 172.16.1.11
22.6882 6 received one packet from 172.16.1.9
22.6959 6 received one packet from 172.16.1.9
22.7016 8 received one packet from 172.16.1.11
22.7129 6 received one packet from 172.16.1.9
22.7155 8 received one packet from 172.16.1.11
22.72 6 received one packet from 172.16.1.9
22.7417 6 received one packet from 172.16.1.9
22.7429 8 received one packet from 172.16.1.11
22.7537 6 received one packet from 172.16.1.9
22.756 8 received one packet from 172.16.1.11
22.7667 6 received one packet from 172.16.1.9
22.7704 6 received one packet from 172.16.1.9
22.7753 8 received one packet from 172.16.1.11
22.7811 6 received one packet from 172.16.1.9
22.7876 6 received one packet from 172.16.1.9
22.7958 6 received one packet from 172.16.1.9
22.7961 8 received one packet from 172.16.1.11
22.8104 8 received one packet from 172.16.1.11
22.8156 8 received one packet from 172.16.1.11
22.8213 8 received one packet from 172.16.1.11
22.8377 6 received one packet from 172.16.1.9
22.8393 8 received one packet from 172.16.1.11
22.8439 6 received one packet from 172.16.1.9
22.851 6 received one packet from 172.16.1.9
22.8592 6 received one packet from 172.16.1.9
22.8777 6 received one packet from 172.16.1.9
22.8892 6 received one packet from 172.16.1.9
22.8905 8 received one packet from 172.16.1.11
22.8976 8 received one packet from 172.16.1.11
22.9084 6 received one packet from 172.16.1.9
22.9202 6 received one packet from 172.16.1.9
22.9462 6 received one packet from 172.16.1.9
22.9725 8 received one packet from 172.16.1.11
22.985 6 received one packet from 172.16.1.9
22.9943 8 received one packet from 172.16.1.11
23.0125 8 received one packet from 172.16.1.11
23.0189 6 received one packet from 172.16.1.9
23.0419 6 received one packet from 172.16.1.9
23.0451 8 received one packet from 172.16.1.11
23.0571 6 received one packet from 172.16.1.9
23.0648 8 received one packet from 172.16.1.11
23.0755 6 received one packet from 172.16.1.9
23.0799 8 received one packet from 172.16.1.11
23.0895 6 received one packet from 172.16.1.9
23.0949 8 received one packet from 172.16.1.11
23.1083 6 received one packet from 172.16.1.9
23.1086 8 received one packet from 172.16.1.11
23.1128 6 received one packet from 172.16.1.9
23.1263 6 received one packet from 172.16.1.9
23.1321 6 received one packet from 172.16.1.9
23.1377 6 received one packet from 172.16.1.9
23.1452 6 received one packet from 172.16.1.9
23.1524 6 received one packet from 172.16.1.9
23.1589 6 received one packet from 172.16.1.9
23.166 6 received one packet from 172.16.1.9
23.1745 6 received one packet from 172.16.1.9
23.1919 6 received one packet from 172.16.1.9
23.1989 6 received one packet from 172.16.1.9
23.209 6 received one packet from 172.16.1.9
